ID,Size_pre,Size_post,Stage
1,26.0,26.0,17
2,27.0,35.0,25
3,19.0,20.0,25
4,38.0,42.0,34
5,30.0,38.0,32
6,32.0,37.0,35
7,28.0,39.0,28
8,26.0,36.0,30
9,35.0,44.0,25
10,26.0,33.0,37
11,30.0,37.0,32
12,23.0,33.0,20
13,21.0,31.0,22
14,30.0,35.0,38
15,19.0,22.0,23
16,19.0,28.0,25
17,29.0,36.0,22
18,17.0,23.0,23
19,18.0,25.0,20
20,34.0,43.0,32
